Episode,Worker,Cumulative Reward,RPS
115,2,-34.06962244425947,-0.22713081629506315
116,3,-20.811527985465332,-0.1387435199031022
117,0,-34.84636264129933,-0.23230908427532887
118,1,-38.49495978966909,-0.2566330652644606
119,2,-28.78568226446818,-0.19190454842978785
120,3,-37.033861083250905,-0.2468924072216727
121,0,-25.31570658250079,-0.16877137721667193
122,1,-25.19798200314788,-0.16798654668765253
123,2,-22.830574839859228,-0.15220383226572817
124,3,-27.40588169208795,-0.182705877947253
125,0,-27.738702253281133,-0.1849246816885409
126,1,-22.323416551483902,-0.1488227770098927
127,2,-31.45102239745657,-0.20967348264971045
128,3,-27.61745119822659,-0.18411634132151058
129,0,-41.14771397964775,-0.27431809319765166
130,1,-26.359994816111072,-0.17573329877407382
131,2,-20.844335619947813,-0.13896223746631875
132,3,9.863527359309922,9.863527359309922
133,0,-32.39851822074968,-0.21599012147166452
134,1,-24.60567860599079,-0.16403785737327192
135,2,-29.508501625300184,-0.19672334416866788
136,3,-28.277717850467685,-0.1885181190031179
137,0,-33.816499787395045,-0.22544333191596697
138,1,-29.388158439927103,-0.1959210562661807
139,2,-23.379756800469895,-0.15586504533646597
140,3,-19.590785623936593,-0.13060523749291061
141,0,-25.672267907261936,-0.17114845271507959
142,1,-24.87265685189789,-0.16581771234598594
143,2,9.885707145132676,9.885707145132676
144,3,-15.266341434050897,-0.15115189538664256
145,0,-30.770734957757696,-0.20513823305171797
146,1,-16.098988612382318,-0.14906470937391034
147,2,-28.587528746977224,-0.19058352497984815
148,3,-28.50941662986451,-0.19006277753243006
149,0,-24.7266700280702,-0.16484446685380133
150,1,-30.31848240742857,-0.2021232160495238
151,2,9.860045032621583,9.860045032621583
152,3,-32.89455135711202,-0.21929700904741348
153,0,-23.219700772693983,-0.15479800515129322
154,1,-22.516847010592798,-0.15011231340395198
155,2,-28.253447183392446,-0.18835631455594964
156,3,-23.749777902651537,-0.15833185268434358
157,0,-31.300290633934043,-0.20866860422622696
158,1,-5.792283198705734,-0.1232400680575688
159,2,-24.384197577551713,-0.16256131718367808
160,3,-26.79573739291705,-0.17863824928611366
161,0,-3.989323278758114,-0.041127044110908395
162,1,-22.134459267408168,-0.14756306178272113
163,2,-29.019220396233703,-0.1934614693082247
164,3,-18.641807823369806,-0.12427871882246537
165,0,-32.52880941030072,-0.2168587294020048
166,1,-27.424903910149993,-0.18283269273433328
167,2,-23.505669440835195,-0.1567044629389013
168,3,-41.879604367854334,-0.2791973624523622
169,0,-25.151488220094357,-0.16767658813396238
170,1,-29.75723685978988,-0.19838157906526588
171,2,-18.751525442432932,-0.12501016961621955
172,3,-33.48217091357261,-0.22321447275715073
173,0,-23.14759796982855,-0.154317319798857
174,1,-35.47059660793309,-0.23647064405288726
175,2,-21.887673500026438,-0.14591782333350958
176,3,9.868673494585993,9.868673494585993
177,0,-27.31480812176426,-0.18209872081176173
178,1,-24.10847518327595,-0.16072316788850632
179,2,-28.493025132859547,-0.18995350088573032
180,3,-30.085345011578788,-0.20056896674385857
181,0,-33.699835287620004,-0.22466556858413336
182,1,-28.320113238133654,-0.18880075492089102
183,2,-27.36846643492727,-0.18245644289951513
184,3,-41.206414766623745,-0.27470943177749163
185,0,-23.16498166885305,-0.154433211125687
186,1,9.877685731519025,9.877685731519025
187,2,-27.24228893885952,-0.1816152595923968
188,3,-26.469591457677314,-0.1764639430511821
189,0,-24.65347002698458,-0.16435646684656385
190,1,-20.569643888867326,-0.1371309592591155
191,2,-25.155780528506373,-0.1677052035233758
192,3,-26.42394892625783,-0.17615965950838552
193,0,-35.48096593510995,-0.236539772900733
194,1,-33.44005227730889,-0.22293368184872592
195,2,-31.032529180190334,-0.20688352786793557
196,3,-27.099556571487202,-0.18066371047658134
197,0,-28.74603261040898,-0.19164021740272655
198,1,-32.43060873545827,-0.21620405823638847
199,2,-37.74740104365564,-0.25164934029103764
200,3,-29.91547966847608,-0.19943653112317386
201,0,-33.10325569180729,-0.22068837127871527
202,1,-23.41125901580983,-0.15607506010539887
203,2,-35.293591398555236,-0.23529060932370158
204,3,-38.299130434038595,-0.25532753622692395
205,0,-32.511829239820926,-0.21674552826547283
206,1,10.382204032250705,10.382204032250705
207,2,-26.964764657064965,-0.17976509771376642
208,3,-30.789865032628544,-0.2052657668841903
209,0,-20.26699954524024,-0.13511333030160158
210,1,-23.162649744389906,-0.15441766496259937
211,2,-24.33683898421222,-0.16224559322808146
212,3,-29.66361015013172,-0.19775740100087813
213,0,-31.48702797238166,-0.20991351981587775
214,1,-25.096274318075693,-0.16730849545383794
215,2,-27.312455068110985,-0.18208303378740656
216,3,-38.2202580129094,-0.25480172008606267
217,0,-17.449143695338964,-0.1163276246355931
218,1,-28.521484277070954,-0.19014322851380636
219,2,-35.56686620794216,-0.23711244138628107
220,3,-28.240236745650304,-0.18826824497100203
