Episode,Worker,Cumulative Reward,RPS
140,2,-70.99824073142163,-0.2366608024380721
141,3,-69.01251276740757,-0.23004170922469191
142,0,-46.81051770698844,-0.15603505902329481
143,1,-62.323376878125316,-0.20774458959375106
144,2,-64.89080026764196,-0.21630266755880656
145,3,-62.16079886700514,-0.20720266289001713
146,0,-65.34907993114734,-0.2178302664371578
147,1,-17.63438954622398,-0.19813920838453908
148,2,-53.0109850314565,-0.17670328343818834
149,3,-61.92589804780049,-0.20641966015933497
150,0,-49.954985546505554,-0.16651661848835184
151,1,-60.988050863079955,-0.20329350287693318
152,2,-64.01197651994707,-0.21337325506649024
153,3,-44.9958457230398,-0.14998615241013266
154,0,-62.29156171130554,-0.20763853903768514
155,1,-66.1016981604189,-0.22033899386806302
156,2,-72.068589569511,-0.24022863189837002
157,3,-53.970899080298906,-0.17990299693432968
158,0,-64.6043139797671,-0.21534771326589033
159,1,-47.360352241549855,-0.17284800088156882
160,2,-41.504049956227966,-0.13834683318742655
161,3,-68.75467141433839,-0.22918223804779464
162,0,9.883577338841135,9.883577338841135
163,1,9.850577494333416,9.850577494333416
164,2,-74.0003469749209,-0.24666782324973635
165,3,-74.50872959291677,-0.24836243197638921
166,0,-63.723339843160126,-0.21241113281053375
167,1,-9.217396466810746,-0.1589206287381163
168,2,-48.53501470268835,-0.1617833823422945
169,3,9.839355997991706,9.839355997991706
170,0,-61.224938853923575,-0.20408312951307858
171,1,10.112646947540892,3.370882315846964
172,2,-63.918278761328004,-0.21306092920442668
173,3,-68.93558673842327,-0.22978528912807755
174,0,-53.55281389295545,-0.17850937964318483
175,1,-68.02413632920724,-0.22674712109735745
176,2,-55.113766393486976,-0.1837125546449566
177,3,-58.08423492431688,-0.1936141164143896
178,0,-59.318474582617135,-0.1977282486087238
179,1,-72.0471796785456,-0.24015726559515202
180,2,-58.618523659370965,-0.1953950788645699
181,3,-49.72256161906757,-0.16574187206355856
182,0,-48.50272296351642,-0.1616757432117214
183,1,-57.91929261455057,-0.19306430871516858
184,2,-22.05212507827331,-0.17363878014388434
185,3,-51.09422502319175,-0.17031408341063917
186,0,-50.02278009327396,-0.1667426003109132
187,1,-47.80348774925854,-0.1593449591641951
188,2,-69.70826121717819,-0.2323608707239273
189,3,-51.07015078784046,-0.1702338359594682
190,0,-64.57900539259761,-0.2152633513086587
191,1,-49.02059141107271,-0.16340197137024237
192,2,-65.64530250651433,-0.21881767502171443
193,3,-43.797447277016616,-0.14599149092338873
194,0,-62.02857120400191,-0.20676190401333971
195,1,-73.8383879182097,-0.24612795972736567
196,2,-63.80576086308063,-0.2126858695436021
197,3,-54.08273517222098,-0.18027578390740326
